"ids","department","bases","experience","raises","salary","simple.model","random.intercpet.preds","random.slope.preds","random.slope.int.preds"
1,"sociology",36094.8485098779,0,2064.92724372074,36094.8485098779,58880.274096749,44487.2252647321,59102.0754412273,40760.1372887103
2,"biology",54786.69464821,1,467.30331373401,55253.997961944,60109.7651753037,49250.0229670481,58115.552552772,51049.0765004605
3,"english",58646.6413903982,1,493.71364491526,59140.3550353134,60109.7651753037,59561.403847876,59769.5236855161,60802.9003541488
4,"informatics",63622.3731124774,8,1837.8375087725,78325.0731826574,68716.2027251867,80381.416199831,84266.0738071872,81897.5881885435
5,"statistics",73603.5666167736,1,450.774399586953,74054.3410163606,60109.7651753037,78209.8600548988,62796.6558912443,78802.2252604348
6,"sociology",40014.2364427447,3,2164.54523233697,46507.8721397556,62568.7473324132,47089.6283670978,55517.686569492,46044.7597017191
7,"biology",51887.1188536286,8,470.136374654248,55648.2098508626,68716.2027251867,55322.2968725683,51209.892333585,52980.973477695
8,"english",55415.5238103122,2,457.097594928928,56329.71900017,61339.2562538585,60428.8715486646,60436.9719298049,61299.9588637001
9,"informatics",63053.3156753518,3,1657.15695282444,68024.7865338251,62568.7473324132,76044.077695888,68538.5748284623,74960.0016978463
10,"statistics",76095.5273732543,2,545.918334415183,77187.3640420847,61339.2562538585,79077.3277556874,66491.2363412613,79494.1273131093
11,"sociology",43652.2540505975,5,1977.17993361875,53538.1537186913,65027.7294895226,48824.563768675,53128.0939883352,49567.8413103917
12,"biology",49726.9183443859,7,545.700169657357,53546.8195319874,67486.711646632,54454.8291717797,52196.4152220403,52704.9881952329
13,"english",65606.7725960165,9,516.119769355282,70251.8505202141,69945.6938037414,66501.1454541847,65109.1096398266,64779.3684305593
14,"informatics",73517.3882660456,7,1763.02967708558,85858.5960056446,67486.711646632,79513.9484990424,81120.5740114422,80510.0708904041
15,"statistics",85498.226929456,2,476.131096668541,86450.4891227931,61339.2562538585,79077.3277556874,66491.2363412613,79494.1273131093
16,"sociology",36658.1480335444,9,1871.45218402147,53501.2176897377,69945.6938037414,52294.4345718294,48348.9088260215,56614.0045277368
17,"biology",45270.5675922334,8,485.797693929635,49156.9491436705,68716.2027251867,55322.2968725683,51209.892333585,52980.973477695
18,"english",60270.994277671,3,532.743960409425,61869.2261588993,62568.7473324132,61296.3392494532,61104.4201740937,61797.0173732514
19,"informatics",66409.3770622276,8,1610.29224950355,79291.7150582559,68716.2027251867,80381.416199831,84266.0738071872,81897.5881885435
20,"statistics",78062.6386888325,1,472.57618685253,78535.2148756851,60109.7651753037,78209.8600548988,62796.6558912443,78802.2252604348
21,"sociology",41509.4068404287,4,2126.14412633702,50013.9833457768,63798.2384109679,47957.0960678864,54322.8902789136,47806.3005060554
22,"biology",54244.0876597539,3,485.528461262584,55700.6730435416,62568.7473324132,50984.9583686253,56142.5067758614,51601.0470653846
23,"english",60660.9813384712,4,482.109525986016,62589.4194424152,63798.2384109679,62163.8069502418,61771.8684183825,62294.0758828027
24,"informatics",74500.5195252597,4,1549.20667927712,80697.3462423682,63798.2384109679,76911.5453966766,71684.0746242072,76347.5189959857
25,"statistics",76690.8400692046,9,504.967740993015,81235.5497381417,69945.6938037414,85149.6016612075,92353.2994913804,84337.4416818307
26,"sociology",42196.5917386115,8,1891.90822625533,57331.8575486541,68716.2027251867,51426.9668710408,49543.7051165999,54852.4637234005
27,"biology",46425.3890677355,8,537.079581082799,50722.0257163979,68716.2027251867,55322.2968725683,51209.892333585,52980.973477695
28,"english",64314.3398165703,9,539.139353320934,69166.5939964587,69945.6938037414,66501.1454541847,65109.1096398266,64779.3684305593
29,"informatics",64081.7546402104,2,1632.56030615419,67346.8752525188,61339.2562538585,75176.6099950994,65393.0750327173,73572.4843997069
30,"statistics",86952.6947438717,1,489.342113863677,87442.0368577354,60109.7651753037,78209.8600548988,62796.6558912443,78802.2252604348
31,"sociology",39392.714580521,6,1962.16463642195,51165.7023990527,66257.2205680773,49692.0314694636,51933.2976977568,51329.382114728
32,"biology",46617.4075449817,7,464.477457408793,49868.7497468432,67486.711646632,54454.8291717797,52196.4152220403,52704.9881952329
33,"english",64245.9592167288,5,489.614767022431,66694.033051841,65027.7294895226,63031.2746510304,62439.3166626714,62791.134392354
34,"informatics",72723.2186100446,0,1749.69263855834,72723.2186100446,58880.274096749,73441.6745935222,59102.0754412273,70797.449803428
35,"statistics",74386.3371647894,6,511.629781755619,77456.1158553232,66257.2205680773,82547.1985588418,81269.5581413294,82261.7355238072
36,"sociology",36173.0987243354,8,2139.78314427659,53291.3638785481,68716.2027251867,51426.9668710408,49543.7051165999,54852.4637234005
37,"biology",45709.7840751521,6,525.836474751122,48864.8029236589,66257.2205680773,53587.3614709911,53182.9381104956,52429.0029127708
